Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,F1,F2,F3,F4,F5,Price
3,1,2014,19698,2,0,1,25.4,624,37.5,4,12,2,2,2,2,1.53
1,1,2017,22033,3,0,1,25.32,1198,77,6,12,1,1,11,1,5.58
2,1,2014,35487,2,0,1,18.5,1197,82.9,5,12,2,2,2,2,4.74
3,1,2014,46374,2,1,1,14.62,1999,149.92,5,12,1,1,11,1,8.85
1,1,2016,52001,2,1,1,14.28,1798,138.03,5,12,2,2,2,2,10.11
2,1,2008,58005,3,0,2,14.9,1991,112.2,5,12,1,1,11,1,4.25
3,1,2012,70704,2,0,1,11.25,2694,163.7,7,12,2,2,2,2,10.95
1,1,2014,75000,3,0,1,24.4,1120,71,5,12,1,1,11,1,3.85
2,1,2012,75800,3,0,2,16.55,2498,105,6,12,2,2,2,2,5.5
3,1,2015,13648,3,1,1,17.11,1968,174.33,5,12,1,1,11,1,21.43
1,1,2014,52000,3,0,1,22.9,1248,74,5,12,2,2,2,2,4.25
2,1,2014,53000,3,0,1,17.8,1248,75,5,12,1,1,11,1,3.3
3,1,2013,65650,3,0,1,28.4,1248,74,5,12,2,2,2,2,3.85
1,1,2015,54000,2,0,3,18.9,1197,82,5,12,1,1,11,1,3.6
2,1,2015,39000,2,0,1,15.04,1598,103.2,5,12,2,2,2,2,3.99
3,1,2017,16542,2,0,1,25.17,799,53.3,5,12,1,1,11,1,3.3
1,1,2010,32000,2,0,1,20.36,1197,78.9,5,12,2,2,2,2,2.07
2,1,2010,121812,3,1,1,13.29,1995,147.6,5,12,1,1,11,1,7.75
3,1,2010,39300,2,0,1,18.2,998,67.1,5,12,2,2,2,2,2.25
1,1,2017,22000,3,0,1,13.68,2393,147.8,8,12,1,1,11,1,16.5
2,1,2010,72000,3,0,1,20,1399,68,5,12,2,2,2,2,2.75
3,1,2015,58000,2,1,1,11.74,1796,186,5,12,1,1,11,1,26.7
1,1,2011,65000,3,0,2,15.8,2148,170,5,12,2,2,2,2,10
2,1,2016,178000,3,0,1,25,1396,69,5,12,1,1,11,1,2.5
3,1,2012,65664,3,1,1,16.55,1968,140,5,12,2,2,2,2,13.5
1,1,2007,63000,2,1,2,16.4,1497,78,5,12,1,1,11,1,1.85
2,1,2019,15369,3,1,1,0,1950,194,5,12,2,2,2,2,35.67
3,1,2016,63000,3,0,1,24.52,1248,88.5,7,12,1,1,11,1,8.15
1,1,2018,13000,3,0,1,22.1,1396,88.7,5,12,2,2,2,2,10.5
2,1,2008,73000,2,1,1,8.5,4806,500,5,12,1,1,11,1,14.5
3,1,2015,55729,3,0,1,15.1,2179,140,7,12,2,2,2,2,9.65
1,1,2012,45178,2,1,1,16.95,1197,78.9,5,12,1,1,11,1,3.48
2,1,2015,56066,3,0,1,19.64,1461,108.5,5,12,2,2,2,2,6.92
3,1,2016,37300,2,1,2,16.5,1198,86.8,5,12,1,1,11,1,6.46
1,1,2014,56000,3,1,2,18.53,1968,187.74,5,12,2,2,2,2,29.5
2,1,2008,111111,3,0,1,17.8,1399,null,5,12,1,1,11,1,2
3,1,2006,230000,2,0,3,12.4,1998,132,8,12,2,2,2,2,4.5
1,1,2012,104000,3,0,1,12.8,2494,102,7,12,1,1,11,1,11.75
2,1,2005,87591,2,0,1,0,1086,null,5,12,2,2,2,2,1.3
3,1,2012,95100,3,0,1,22.9,1248,74,5,12,1,1,11,1,3.75
1,1,2017,70000,2,0,1,17.57,1193,88.7,5,12,2,2,2,2,4.5
2,1,2016,54944,2,0,1,18,1198,86.7,5,12,1,1,11,1,4.82
3,1,2012,70337,3,0,1,20,1399,68,5,12,2,2,2,2,2.8
1,1,2013,99638,3,0,1,23.2,1248,73.94,5,12,1,1,11,1,3.11
2,1,2009,52000,2,0,1,17.8,1497,117.3,5,12,2,2,2,2,3.25
3,1,2011,75000,3,1,2,16.73,1995,218,5,12,1,1,11,1,13.9
1,1,2009,95980,2,0,1,20.36,1197,78.9,5,12,2,2,2,2,2.25
2,1,2016,16000,2,0,1,18.9,1197,82,5,12,1,1,11,1,5.75
3,1,2007,73745,2,0,1,17,1086,null,5,12,2,2,2,2,2.1
1,1,2016,18949,2,0,1,17.8,1198,86.7,5,12,1,1,11,1,5
2,1,2014,107000,3,0,1,13,2982,168.5,7,12,2,2,2,2,16.5
3,1,2018,48367,3,1,1,17.68,1968,174.33,5,12,1,1,11,1,39.58
1,1,2013,57000,3,0,1,22.7,1498,89.84,5,12,2,2,2,2,5.5
2,1,2014,58000,3,0,1,15.1,2179,140,7,12,1,1,11,1,8.1
3,1,2015,30000,3,0,1,25.8,1498,98.6,5,12,2,2,2,2,3.5
1,1,2013,34212,3,0,1,22.07,1199,73.9,5,12,1,1,11,1,2.79
2,1,2010,70002,3,0,1,16.2,1493,110,5,12,2,2,2,2,3.45
3,1,2016,62000,2,0,1,18.9,998,67.1,5,12,1,1,11,1,4.45
1,1,2010,62001,2,0,1,15.26,1598,103.5,5,12,2,2,2,2,2.65
2,1,2011,78958,3,0,2,23,1396,90,5,12,1,1,11,1,3.8
3,1,2014,30180,2,0,1,18.5,1197,82.85,5,12,2,2,2,2,4.65
1,1,2017,32851,2,0,1,19.83,1198,67,7,12,1,1,11,1,3.95
2,1,2010,30000,3,1,1,14.94,2967,241.4,5,12,2,2,2,2,9.8
3,1,2009,66000,2,0,2,17,1197,80,5,12,1,1,11,1,2.7
1,1,2010,93850,2,0,1,14,796,35,5,12,2,2,2,2,2.41
2,1,2014,53000,2,0,1,17.71,1197,78.9,5,12,1,1,11,1,3.9
3,1,2011,78000,3,1,2,14.74,2993,270.9,5,12,2,2,2,2,24
1,1,2012,65000,3,0,2,16,2179,140,7,12,1,1,11,1,5.75
2,1,2014,40000,3,1,1,22.32,1582,126.32,5,12,2,2,2,2,5.25
3,1,2017,30000,3,1,1,11.36,2755,171.5,7,12,1,1,11,1,19.25
1,1,2017,38053,2,0,1,15.1,1196,73,5,12,2,2,2,2,3.91
2,1,2014,25500,2,0,1,25.4,624,37.5,4,12,1,1,11,1,2.15
3,1,2015,56087,3,1,1,22.69,1995,190,5,12,2,2,2,2,20.75
1,1,2010,71088,2,0,1,13.5,1799,130,5,12,1,1,11,1,3.35
2,1,2014,55000,3,0,1,12.99,2494,100.6,7,12,2,2,2,2,11.11
3,1,2014,32700,3,1,1,23.3,1984,150,5,12,1,1,11,1,20
1,1,2016,39882,2,1,1,19.15,1198,75.94,5,12,2,2,2,2,6.55
2,1,2009,128000,2,1,1,10.8,2497,215,5,12,1,1,11,1,7
3,1,2016,55000,3,0,1,24.3,1248,88.5,5,12,2,2,2,2,7.5
1,1,2005,102000,2,0,2,17,1086,null,5,12,1,1,11,1,0.85
2,1,2014,53753,3,1,2,15,2143,107.3,5,12,2,2,2,2,16.75
3,1,2018,10250,3,0,1,22,1582,126.2,5,12,1,1,11,1,10.95
1,1,2011,43874,2,0,1,18.9,998,67.1,5,12,2,2,2,2,2.45
2,1,2017,32684,2,1,1,21.9,624,37.48,4,12,1,1,11,1,3.23
3,1,2014,42000,3,0,1,12.05,2179,120,8,12,2,2,2,2,7.75
1,1,2009,28352,2,1,1,11.7,1796,178,5,12,1,1,11,1,9.35
2,1,2013,89900,4,0,1,26.6,998,58.16,5,12,2,2,2,2,3.25
3,1,2007,47700,2,0,2,10.8,2354,152,5,12,1,1,11,1,5.25
1,1,2015,55000,3,1,1,21.21,1498,103.2,5,12,2,2,2,2,7.25
2,1,2017,44285,2,0,1,20.73,1373,91.1,5,12,1,1,11,1,7.47
3,1,2016,54000,3,1,1,16,2179,140,7,12,2,2,2,2,13.25
1,1,2016,30232,2,0,1,21.1,1197,85.8,5,12,1,1,11,1,5.81
2,1,2014,88500,2,0,1,24.07,998,67.1,5,12,2,2,2,2,2.6
3,1,2017,13372,2,1,1,19,2996,362.07,2,12,1,1,11,1,54
1,1,2019,12645,2,1,1,17,1591,121.3,5,12,2,2,2,2,11.5
2,1,2010,94385,2,0,2,19.7,796,46.3,5,12,1,1,11,1,1.6
3,1,2015,31821,3,1,1,20.58,1995,143,5,12,2,2,2,2,17.22
1,1,2015,12000,2,1,1,19,1199,88.7,5,12,1,1,11,1,6
2,1,2012,88578,2,0,1,13.5,1799,130,5,12,2,2,2,2,3.95
3,1,2014,44965,3,1,1,19.27,2143,170,5,12,1,1,11,1,17.95
1,1,2014,45044,3,0,1,25.8,1498,98.6,5,12,2,2,2,2,3.7
2,1,2016,34204,2,0,1,22,1197,81.8,5,12,1,1,11,1,5.43
3,1,2008,80759,2,0,3,17,1086,null,5,12,2,2,2,2,1.67
1,1,2012,91235,3,0,1,11.5,2982,171,7,12,1,1,11,1,13.49
2,1,2014,38800,2,0,1,18.6,1199,76.8,5,12,2,2,2,2,2.85
3,1,2013,83000,3,0,1,21.14,1498,103.52,5,12,1,1,11,1,4.75
1,1,2018,41283,2,0,1,20.73,1373,91.1,5,12,2,2,2,2,9.9
2,1,2013,23000,2,1,1,11.05,2894,444,4,12,1,1,11,1,37
3,1,2014,48000,3,1,1,21.76,1995,190,5,12,2,2,2,2,26.5
1,1,2015,48214,3,1,1,17.11,1968,174.33,5,12,1,1,11,1,23.32
2,1,2016,35000,3,0,1,22.9,1248,74,5,12,2,2,2,2,6.25
3,1,2010,35277,2,1,1,7.81,5461,362.9,5,12,1,1,11,1,30
1,1,2016,54620,3,1,1,21.66,1498,103.52,5,12,2,2,2,2,9.86
2,1,2012,136997,3,1,1,17.2,1968,138.1,5,12,1,1,11,1,8.5
3,1,2019,14322,2,0,1,21.1,814,55.2,5,12,2,2,2,2,4.23
1,1,2012,65634,3,0,1,22.07,1199,73.9,5,12,1,1,11,1,3.5
2,1,2016,6000,2,0,1,20.63,1198,67.06,5,12,2,2,2,2,2.5
3,1,2013,33280,2,0,1,19.4,1198,86.8,5,12,1,1,11,1,2.39
1,1,2013,29000,2,1,1,14.8,1595,120.7,5,12,2,2,2,2,11.25
2,1,2015,42831,3,0,1,26,1498,98.6,5,12,1,1,11,1,7.11
3,1,2016,90000,3,0,1,12.99,2494,100.6,7,12,2,2,2,2,10.9
1,1,2017,24005,2,0,1,20.4,1197,81.8,5,12,1,1,11,1,6.2
2,1,2012,32792,3,0,1,15.1,2179,140,7,12,2,2,2,2,7.9
3,1,2014,147898,3,0,1,22.7,1498,89.84,5,12,1,1,11,1,4.42
1,1,2012,131765,3,0,1,13,2982,168.5,7,12,2,2,2,2,13.5
2,1,2013,65000,3,1,1,21.5,1498,108.5,5,12,1,1,11,1,6.25
3,1,2010,66123,3,0,2,20,1399,68,5,12,2,2,2,2,2.1
1,1,2015,41000,3,1,1,15.3,2993,258,5,12,1,1,11,1,45
2,1,2017,23550,3,1,1,19.27,2143,167.62,5,12,2,2,2,2,33.66
3,1,2012,45000,2,0,2,19.4,1198,86.8,5,12,1,1,11,1,3.65
1,1,2013,60000,2,0,1,20.36,1197,78.9,5,12,2,2,2,2,2.75
2,1,2016,44414,3,1,1,17.9,2143,170,5,12,1,1,11,1,42.5
3,1,2019,1000,2,0,1,18.9,1197,81.86,5,12,2,2,2,2,6.5
1,1,2012,62500,3,1,2,17.68,1968,174.33,5,12,1,1,11,1,19
2,1,2013,21000,2,1,2,14.4,1598,103.6,5,12,2,2,2,2,4.45
3,1,2017,8525,3,1,2,16.6,1998,112,5,12,1,1,11,1,23
1,1,2014,29000,3,0,1,22.54,1396,88.73,5,12,2,2,2,2,8.35
2,1,2014,40000,3,1,1,17.68,1968,174.33,5,12,1,1,11,1,22.95
3,1,2012,88000,3,0,1,25.44,936,57.6,5,12,2,2,2,2,1.5
1,1,2012,53537,2,1,1,13.7,1798,157.75,5,12,1,1,11,1,6.89
2,1,2006,216000,3,0,2,17.8,1399,68,5,12,2,2,2,2,1.45
3,1,2014,51000,3,1,1,22.48,1995,190,5,12,1,1,11,1,33.5
1,1,2007,118500,2,0,1,12.9,1598,102.5,5,12,2,2,2,2,1.25
2,1,2012,63000,3,0,1,22.07,1199,73.9,5,12,1,1,11,1,4.2
3,1,2015,25000,3,0,1,19.98,1461,108.5,8,12,2,2,2,2,6.75
1,1,2014,37382,3,1,1,13,2143,201.1,5,12,1,1,11,1,32
2,1,2017,24773,2,0,1,21.4,1197,83.1,5,12,2,2,2,2,7.5
3,1,2012,62000,3,0,1,22.32,1582,126.32,5,12,1,1,11,1,4.6
1,1,2017,52340,2,0,1,19.81,1086,68.05,5,12,2,2,2,2,4.04
2,1,2016,56739,3,0,1,15.4,1997,120,7,12,1,1,11,1,10.31
3,1,2018,36091,3,1,1,12.7,2179,187.7,5,12,2,2,2,2,55.76
1,1,2010,120000,3,0,1,20,1399,68,5,12,1,1,11,1,2.6
2,1,2016,33000,3,0,1,25.47,1248,88.5,7,12,2,2,2,2,8.5
3,1,2007,60006,2,0,1,0,,,,12,1,1,11,1,2.95
1,1,2014,52000,3,0,1,25.8,1498,98.6,5,12,2,2,2,2,3.5
2,1,2015,43571,2,0,1,20.36,1197,78.9,5,12,1,1,11,1,3.55
3,1,2013,50000,3,0,1,25.8,1498,98.6,5,12,2,2,2,2,3.25
1,1,2008,113000,3,0,1,17.5,1896,106,5,12,1,1,11,1,4.5
2,1,2014,90000,3,0,1,19.87,1461,83.8,5,12,2,2,2,2,5.35
3,1,2017,29000,3,0,2,17.45,1493,100,7,12,1,1,11,1,6.5
1,1,2016,20000,3,0,1,24.3,1248,88.5,5,12,2,2,2,2,9
2,1,2016,61012,2,0,1,18.6,1197,81.83,5,12,1,1,11,1,6
3,1,2009,87459,2,0,1,14.7,1390,85,5,12,2,2,2,2,2.75
1,1,2010,70500,2,0,1,15.64,1193,64.1,5,12,1,1,11,1,1.5
2,1,2015,64103,3,1,1,15.73,1968,174.33,5,12,2,2,2,2,19.9
3,1,2014,76000,2,1,1,14.7,1798,177.5,5,12,1,1,11,1,10
1,1,2014,104000,3,0,1,23.59,1364,67.06,5,12,2,2,2,2,3
2,1,2010,42001,2,0,1,16.1,,,,12,1,1,11,1,2.11
3,1,2014,37245,2,1,1,14.8,1595,120.7,5,12,2,2,2,2,11.96
1,1,2013,45000,3,0,1,27.4,1498,98.6,5,12,1,1,11,1,3.25
2,1,2012,117837,3,0,2,22.32,1582,126.32,5,12,2,2,2,2,4.75
3,1,2014,30000,3,0,1,20.46,1461,83.8,5,12,1,1,11,1,5.95
1,1,2015,27057,2,0,2,15.29,1591,121.3,5,12,2,2,2,2,8.15
2,1,2016,8500,2,1,1,20.51,998,67,5,12,1,1,11,1,4.22
3,1,2010,30500,2,1,1,11.74,1796,186,5,12,2,2,2,2,10.5
1,1,2012,56000,3,1,1,11.8,2967,246.7,5,12,1,1,11,1,45
2,1,2012,44000,2,0,2,19.81,1086,68.05,5,12,2,2,2,2,2.9
3,1,2017,10500,2,1,1,14.3,1598,103.52,5,12,1,1,11,1,8.9
1,1,2017,26000,2,1,1,14.67,1798,177.46,5,12,2,2,2,2,26
2,1,2018,25166,2,0,1,17.19,1197,81.86,5,12,1,1,11,1,8.22
3,1,2014,64000,3,0,2,25.8,1498,98.6,5,12,2,2,2,2,3.5
1,1,2004,61000,2,0,2,18.9,998,67.1,5,12,1,1,11,1,1.25
2,1,2013,107000,3,0,1,21.03,1461,65,5,12,2,2,2,2,3.7
3,1,2018,29161,3,1,1,19.27,2143,167.62,5,12,1,1,11,1,39.41
1,1,2013,32000,2,0,1,22.5,998,67.04,5,12,2,2,2,2,2.65
2,1,2015,46173,3,0,2,19.01,1461,108.5,5,12,1,1,11,1,8.92
3,1,2013,47000,3,0,1,17.8,1248,null,5,12,2,2,2,2,4.1
1,1,2017,26327,2,1,1,16.82,1998,189.08,4,12,1,1,11,1,35.67
2,1,2015,70436,3,0,1,0,1498,99,,12,2,2,2,2,3.6
3,1,2007,200000,3,0,2,17.2,1396,53.5,5,12,1,1,11,1,0.85
1,1,2016,60813,2,0,2,18.6,1199,76.8,5,12,2,2,2,2,3.32
2,1,2012,45000,3,0,1,22.07,1199,73.9,5,12,1,1,11,1,3.6
3,1,2016,64000,3,0,1,22.9,1248,74,5,12,2,2,2,2,6.8
1,1,2012,41284,3,0,1,20,1399,68.05,5,12,1,1,11,1,2.5
2,1,2019,14165,3,1,1,11.36,2755,171.5,7,12,2,2,2,2,19.64
3,1,2011,67000,3,1,2,11.72,2199,194.3,7,12,1,1,11,1,7
1,1,2011,32572,2,0,1,17.4,1497,117.3,5,12,2,2,2,2,3.87
2,1,2018,14960,2,0,1,18.6,1197,81.83,5,12,1,1,11,1,6.27
3,1,2015,55980,3,1,1,19.27,2143,167.62,5,12,2,2,2,2,18.12
1,1,2013,74000,3,0,1,25.44,936,57.6,5,12,1,1,11,1,2.65
2,1,2015,56847,3,0,1,22.54,1396,88.73,5,12,2,2,2,2,7.2
3,1,2015,121374,3,0,1,12.99,2494,100.6,7,12,1,1,11,1,14.3
1,1,2013,52000,3,0,1,20.77,1248,88.76,7,12,2,2,2,2,6.9
2,1,2014,118000,3,0,1,12.8,2494,102,7,12,1,1,11,1,10.75
3,1,2007,72000,2,0,3,17,1086,null,5,12,2,2,2,2,0.95
1,1,2016,33915,2,0,1,17.8,1497,117.3,5,12,1,1,11,1,8.09
2,1,2014,82002,3,1,1,17.05,1995,184,5,12,2,2,2,2,18.5
3,1,2017,33000,3,0,1,24,1120,70,5,12,1,1,11,1,4.75
1,1,2016,34000,3,0,1,28.09,1248,88.5,5,12,2,2,2,2,8.45
2,1,2012,55000,3,0,1,20.5,1598,103.6,5,12,1,1,11,1,3.5
3,1,2006,160538,3,0,1,13.1,1493,82,5,12,2,2,2,2,1.8
1,1,2014,60000,3,0,2,19.91,1498,103.6,5,12,1,1,11,1,3.7
2,1,2017,49575,2,0,1,18.7,1199,88.7,5,12,2,2,2,2,7.17
3,1,2010,83000,2,0,1,19.81,1086,68.05,5,12,1,1,11,1,1.75
1,1,2018,51346,3,1,1,16.38,1995,183,5,12,2,2,2,2,21.99
2,1,2017,43000,3,0,1,13.68,2393,147.8,7,12,1,1,11,1,18.65
3,1,2011,35000,2,0,3,19.7,796,35,5,12,2,2,2,2,1.85
1,1,2017,27872,2,0,2,20.4,1197,81.8,5,12,1,1,11,1,5.95
2,1,2014,16514,2,0,1,18.9,1197,82,5,12,2,2,2,2,3.75
3,1,2012,120000,3,0,1,22.9,1248,74,5,12,1,1,11,1,3.75
1,1,2008,143275,3,0,1,22,1582,126.2,5,12,2,2,2,2,2.6
2,1,2006,99000,2,0,1,0,1086,null,5,12,1,1,11,1,1.75
3,1,2010,52000,2,0,1,17,1197,80,5,12,2,2,2,2,2.8
1,1,2017,29819,3,1,1,11.57,2987,254.79,5,12,1,1,11,1,61.29
2,1,2014,57000,3,0,2,15.8,2148,170,5,12,2,2,2,2,18
3,1,2014,88500,3,0,1,23.2,1248,73.94,5,12,1,1,11,1,4.35
1,1,2016,28000,3,0,1,19.67,1582,126.2,5,12,2,2,2,2,13.75
2,1,2010,67000,2,0,1,19,998,66.1,5,12,1,1,11,1,2
3,1,2016,26000,3,0,1,19.64,1461,108.45,5,12,2,2,2,2,10
1,1,2010,120000,3,0,1,17.8,1248,76,5,12,1,1,11,1,1.65
2,1,2017,51982,3,1,1,16.55,2993,258,5,12,2,2,2,2,45.77
3,1,2010,36000,2,0,2,20.36,1197,78.9,5,12,1,1,11,1,3.25
1,1,2016,47000,3,0,1,12.8,2494,102,7,12,2,2,2,2,12.8
2,1,2002,60000,2,0,3,17.3,993,60,5,12,1,1,11,1,0.55
3,1,2018,31025,3,0,1,28.4,1248,74,5,12,2,2,2,2,7.15
1,1,2013,105000,3,0,2,12.05,2179,120,8,12,1,1,11,1,7
2,1,2017,121900,3,0,1,22.95,1248,74,5,12,2,2,2,2,3.75
3,1,2017,22695,2,0,1,18.88,999,123.24,5,12,1,1,11,1,8.5
1,1,2012,73000,3,0,1,23.4,1248,74,5,12,2,2,2,2,4.35
2,1,2016,32227,2,0,1,22.74,796,47.3,5,12,1,1,11,1,3.26
3,1,2011,55000,2,0,1,17,1497,118,5,12,2,2,2,2,4.21
1,1,2018,11287,3,1,1,12.07,2967,241.4,7,12,1,1,11,1,70.36
2,1,2009,48000,3,1,2,17,1896,105,5,12,2,2,2,2,2.95
3,1,2012,54308,2,0,1,17.1,1591,121.3,5,12,1,1,11,1,4.28
1,1,2009,78442,2,1,1,16.8,1497,118,5,12,2,2,2,2,3.57
2,1,2013,46000,3,0,1,21.9,1396,88.8,5,12,1,1,11,1,3.11
3,1,2014,45051,2,1,1,15,1396,98.6,5,12,2,2,2,2,5.96
1,1,2011,69000,3,0,1,20.54,1598,103.6,5,12,1,1,11,1,4.7
2,1,2014,49000,2,0,1,17.4,1497,117.3,5,12,2,2,2,2,6.9
3,1,2018,45000,3,0,1,22.95,1248,74,5,12,1,1,11,1,5.25
1,1,2015,64000,3,1,1,18.48,1995,177,5,12,2,2,2,2,28
2,1,2009,60000,2,0,1,18.9,1061,67,5,12,1,1,11,1,1.35
3,1,2015,62178,2,0,1,18.2,1199,88.7,5,12,2,2,2,2,4.85
1,1,2012,58006,3,0,1,15,1896,105,5,12,1,1,11,1,6.7
2,1,2010,74000,2,0,1,20.36,1197,78.9,5,12,2,2,2,2,3.1
3,1,2015,77771,3,1,1,19.27,2143,170,5,12,1,1,11,1,18.64
1,1,2012,45275,2,0,1,20.36,1197,78.9,5,12,2,2,2,2,2.8
2,1,2016,48000,3,0,1,13.68,2393,147.8,7,12,1,1,11,1,20.25
3,1,2015,31652,3,1,1,17.68,1968,174.33,5,12,2,2,2,2,26.78
1,1,2010,109000,3,0,2,12.99,2494,100.6,7,12,1,1,11,1,8.26
2,1,2015,31978,2,0,1,16.47,1198,73.9,5,12,2,2,2,2,3.89
3,1,2011,70000,2,0,1,20.92,998,67.1,5,12,1,1,11,1,2.1
1,1,2017,15000,2,1,1,18,1497,117.3,5,12,2,2,2,2,12.69
2,1,2013,59138,3,0,1,17,1405,70,5,12,1,1,11,1,2.58
3,1,2014,61726,3,1,1,17.68,1968,174.33,5,12,2,2,2,2,20.77
1,1,2015,48000,3,1,1,17.9,2143,136,5,12,1,1,11,1,20.26
2,1,2006,58000,2,0,2,0,1086,null,5,12,2,2,2,2,1.5
3,1,2011,60020,3,0,1,17.8,1248,null,5,12,1,1,11,1,2.5
1,1,2014,77815,2,1,1,23.1,998,67.04,5,12,2,2,2,2,4.25
2,1,2017,29000,3,1,1,17.9,2143,201.15,5,12,1,1,11,1,57
3,1,2017,44000,3,1,1,12.7,2179,187.7,5,12,2,2,2,2,44
1,1,2011,108626,3,0,1,20.54,1598,103.6,5,12,1,1,11,1,3.65
2,1,2012,71791,2,0,1,14,796,35,5,12,2,2,2,2,2.05
3,1,2012,91931,2,0,1,18.5,1198,86.8,5,12,1,1,11,1,3.13
1,1,2000,158000,3,0,2,14.07,2956,83.1,7,12,2,2,2,2,1.5
2,1,2012,91183,3,0,1,18,1248,75,5,12,1,1,11,1,2.85
3,1,2012,65000,2,0,1,18.9,998,67.1,5,12,2,2,2,2,2.65
1,1,2015,88428,3,0,1,16,2179,140,7,12,1,1,11,1,10.6
2,1,2008,138000,3,0,2,17.1,1396,70,5,12,2,2,2,2,1.25
3,1,2018,18000,2,0,1,16.02,1373,93.7,7,12,1,1,11,1,8.25
1,1,2011,60000,2,1,1,11.7,2354,177.6,5,12,2,2,2,2,4.45
2,1,2012,48000,3,0,1,19.3,1248,73.9,5,12,1,1,11,1,3.7
3,1,2009,160000,3,0,1,17.8,1399,68,5,12,2,2,2,2,2.8
1,1,2008,40000,2,0,1,17.7,1497,78,5,12,1,1,11,1,1.8
2,1,2014,51495,3,1,1,17.68,1968,174.33,5,12,2,2,2,2,21.95
3,1,2011,30000,3,1,1,9.52,2993,313,4,12,1,1,11,1,49
1,1,2017,97430,3,1,1,14.75,2967,245,7,12,2,2,2,2,62.67
2,1,2008,42496,4,0,1,26.3,998,67.1,5,12,1,1,11,1,1.4
3,1,2012,83000,3,0,1,23,1396,90,5,12,2,2,2,2,5.5
1,1,2009,37000,2,1,3,16.95,1197,78.9,5,12,1,1,11,1,2.95
2,1,2016,28503,2,1,1,19,1199,88.7,5,12,2,2,2,2,6.86
